cbsa_fips,name,npl_sites,sqmi,sfund_per_sqmi
24860,"Greenville-Anderson-Mauldin, SC",4,2788.6183863150764,0.00143440207510274
25060,"Gulfport-Biloxi-Pascagoula, MS",0,1824.0571729440376,0
25180,"Hagerstown-Martinsburg, MD-WV",1,788.3156497846893,0.0012685273979694905
25260,"Hanford-Corcoran, CA",0,1391.2894098890638,0
25420,"Harrisburg-Carlisle, PA",2,1662.1948889533753,0.0012032283418097432
25500,"Harrisonburg, VA",0,870.8201576298982,0
25540,"Hartford-West Hartford-East Hartford, CT",5,1551.0291443733895,0.0032236660530450463
25620,"Hattiesburg, MS",1,1622.141289090548,6.164691119850904e-4
25860,"Hickory-Lenoir-Morganton, NC",0,1668.2300699157481,0
25980,"Hinesville, GA",0,946.012237621353,0
26300,"Hot Springs, AR",0,734.8180306871805,0
26380,"Houma-Thibodaux, LA",0,2730.4150189722236,0
26420,"Houston-The Woodlands-Sugar Land, TX",20,8609.839325857509,0.002322923720531576
26580,"Huntington-Ashland, WV-KY-OH",4,2561.159248545781,0.001561792771094257
26620,"Huntsville, AL",1,1420.121878168447,7.041649138521233e-4
26820,"Idaho Falls, ID",1,5234.767956049821,1.9103043504426975e-4
26900,"Indianapolis-Carmel-Anderson, IN",7,4336.274008539415,0.001614289130764088
26980,"Iowa City, IA",0,1192.278500890438,0
27060,"Ithaca, NY",0,490.71173588114794,0
27100,"Jackson, MI",0,722.3258338619689,0
27140,"Jackson, MS",2,4732.639278562938,4.2259717723665144e-4
27180,"Jackson, TN",2,1110.1710577784806,0.0018015241759248533
27260,"Jacksonville, FL",6,3428.9593416783955,0.0017498020250841296
27340,"Jacksonville, NC",2,801.933214434277,0.0024939732685980566
27500,"Janesville-Beloit, WI",3,724.8855266786983,0.004138584493120573
27620,"Jefferson City, MO",0,2276.858562751153,0
27740,"Johnson City, TN",0,863.6070910910029,0
27780,"Johnstown, PA",0,692.6294036078922,0
27860,"Jonesboro, AR",0,1476.2103220339548,0
27900,"Joplin, MO",4,1267.51191340751,0.0031557888787385182
28020,"Kalamazoo-Portage, MI",6,1201.5372804226417,0.004993602860070638
28100,"Kankakee, IL",1,680.3547278619508,0.0014698214902431129
28140,"Kansas City, MO-KS",6,7367.599223672868,8.143765449023573e-4
28420,"Kennewick-Richland, WA",5,3017.547814506871,0.001656974572519608
28660,"Killeen-Temple, TX",1,2861.0010080033276,3.495280138673887e-4
28700,"Kingsport-Bristol-Bristol, TN-VA",0,2046.8598817037935,0
28740,"Kingston, NY",3,1158.8905450609332,0.0025886827818085816
