cbsa_fips,name,gini
41420,"Salem, OR",0.4248
41500,"Salinas, CA",0.4595
41540,"Salisbury, MD-DE",0.4518
41620,"Salt Lake City, UT",0.4322
41660,"San Angelo, TX",0.469
41700,"San Antonio-New Braunfels, TX",0.4599
41740,"San Diego-Carlsbad, CA",0.4666
41860,"San Francisco-Oakland-Hayward, CA",0.4884
41940,"San Jose-Sunnyvale-Santa Clara, CA",0.4637
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.4518
42100,"Santa Cruz-Watsonville, CA",0.4784
42140,"Santa Fe, NM",0.4849
42200,"Santa Maria-Santa Barbara, CA",0.4826
42220,"Santa Rosa, CA",0.4584
42340,"Savannah, GA",0.4609
42540,"Scranton--Wilkes-Barre--Hazleton, PA",0.4527
42660,"Seattle-Tacoma-Bellevue, WA",0.4545
42680,"Sebastian-Vero Beach, FL",0.5189
43100,"Sheboygan, WI",0.4079
43300,"Sherman-Denison, TX",0.4449
43340,"Shreveport-Bossier City, LA",0.4987
43580,"Sioux City, IA-NE-SD",0.4324
43620,"Sioux Falls, SD",0.433
43780,"South Bend-Mishawaka, IN-MI",0.4662
43900,"Spartanburg, SC",0.457
44060,"Spokane-Spokane Valley, WA",0.4527
44100,"Springfield, IL",0.459
44140,"Springfield, MA",0.4677
44180,"Springfield, MO",0.4486
44220,"Springfield, OH",0.4422
44300,"State College, PA",0.4651
44700,"Stockton-Lodi, CA",0.455
44940,"Sumter, SC",0.4512
45060,"Syracuse, NY",0.4545
45220,"Tallahassee, FL",0.4752
45300,"Tampa-St. Petersburg-Clearwater, FL",0.4766
45460,"Terre Haute, IN",0.4467
45500,"Texarkana, TX-AR",0.4834
45780,"Toledo, OH",0.4775
45820,"Topeka, KS",0.4222
45940,"Trenton, NJ",0.4966
46060,"Tucson, AZ",0.4725
46140,"Tulsa, OK",0.4671
46220,"Tuscaloosa, AL",0.4675
46340,"Tyler, TX",0.4667
46520,"Urban Honolulu, HI",0.4299
46540,"Utica-Rome, NY",0.448
46660,"Valdosta, GA",0.4992
46700,"Vallejo-Fairfield, CA",0.4267
47020,"Victoria, TX",0.4555
47220,"Vineland-Bridgeton, NJ",0.451
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.4355
47300,"Visalia-Porterville, CA",0.4682
47380,"Waco, TX",0.4775
47580,"Warner Robins, GA",0.4424
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.4424
47940,"Waterloo-Cedar Falls, IA",0.4507
48140,"Wausau, WI",0.441
48260,"Weirton-Steubenville, WV-OH",0.4363
48300,"Wenatchee, WA",0.4319
48540,"Wheeling, WV-OH",0.4676
48620,"Wichita, KS",0.4468
48660,"Wichita Falls, TX",0.4587
48700,"Williamsport, PA",0.4285
48900,"Wilmington, NC",0.4901
49020,"Winchester, VA-WV",0.4202
49180,"Winston-Salem, NC",0.4765
49340,"Worcester, MA-CT",0.4511
49420,"Yakima, WA",0.4435
49620,"York-Hanover, PA",0.4156
49660,"Youngstown-Warren-Boardman, OH-PA",0.4532
49700,"Yuba City, CA",0.4403
49740,"Yuma, AZ",0.4443
