cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
20500,"Durham-Chapel Hill, NC",3719000,Durham city,2010,228330,0,228330,0,80,-1e-4
20700,"East Stroudsburg, PA",4221872,East Stroudsburg borough,2000,9888,1,9840,0.0048543689320388345,0,0.0048543689320388345
20740,"Eau Claire, WI",5522300,Eau Claire city,2010,65883,0,65883,0,30,-1e-4
20940,"El Centro, CA",621782,El Centro city,2010,42598,0,42598,0,0,-1e-4
21060,"Elizabethtown-Fort Knox, KY",2124274,Elizabethtown city,2010,28531,0,28531,0,0,-1e-4
21140,"Elkhart-Goshen, IN",1820728,Elkhart city,2000,51874,1,50949,0.01783166904422254,10,0.01783166904422254
21300,"Elmira, NY",3624229,Elmira city,1950,49716,6,29200,0.41266393112881167,0,0.41266393112881167
21340,"El Paso, TX",4824000,El Paso city,2010,649121,0,649121,0,90,-1e-4
21500,"Erie, PA",4224000,Erie city,1960,138440,5,101786,0.2647645189251661,110,0.2647645189251661
21660,"Eugene, OR",4123850,Eugene city,2010,156185,0,156185,0,50,-1e-4
21780,"Evansville, IN-KY",1822000,Evansville city,1960,141543,5,117429,0.17036518937707976,120,0.17036518937707976
21820,"Fairbanks, AK",224230,Fairbanks city,2010,31535,0,31535,0,0,-1e-4
22020,"Fargo, ND-MN",3825700,Fargo city,2010,105549,0,105549,0,40,-1e-4
22140,"Farmington, NM",3525800,Farmington city,2010,45877,0,45877,0,0,-1e-4
22180,"Fayetteville, NC",3722920,Fayetteville city,2010,200564,0,200564,0,40,-1e-4
22220,"Fayetteville-Springdale-Rogers, AR-MO",523290,Fayetteville city,2010,73580,0,73580,0,10,-1e-4
22380,"Flagstaff, AZ",423620,Flagstaff city,2010,65870,0,65870,0,10,-1e-4
22420,"Flint, MI",2629000,Flint city,1960,196940,5,102434,0.4798720422463695,90,0.4798720422463695
22500,"Florence, SC",4525810,Florence city,2010,37056,0,37056,0,0,-1e-4
22520,"Florence-Muscle Shoals, AL",126896,Florence city,2010,39319,0,39319,0,0,-1e-4
22540,"Fond du Lac, WI",5526275,Fond du Lac city,2010,43021,0,43021,0,0,-1e-4
