cbsa_fips,cbsa,vacancy_msa,vacancy_city
25620,"Hattiesburg, MS",0.08828018155511069,0.10193166476269602
25860,"Hickory-Lenoir-Morganton, NC",0.07529301323909052,0.07235531953412588
25940,"Hilton Head Island-Bluffton-Beaufort, SC",0.23178982129549805,0.41542581247210614
25980,"Hinesville, GA",0.12407951467053302,0.10338954181570431
26140,"Homosassa Springs, FL",0.15384862709793581,0.13904982618771727
26300,"Hot Springs, AR",0.1588325584499366,0.1444214107266252
26380,"Houma-Thibodaux, LA",0.09228655649367105,0.07032124021096373
26420,"Houston-The Woodlands-Sugar Land, TX",0.07827216156527546,0.0819223308171645
26580,"Huntington-Ashland, WV-KY-OH",0.09261704198201214,0.11329573547589616
26620,"Huntsville, AL",0.08521248768556579,0.09404099362019819
26820,"Idaho Falls, ID",0.060902235884501194,0.049466390167416927
26900,"Indianapolis-Carmel-Anderson, IN",0.07678124625968208,0.0917120895272523
26980,"Iowa City, IA",0.041159377643726784,0.03377678947973776
27060,"Ithaca, NY",0.0570873786407767,0.04182190760059613
27100,"Jackson, MI",0.07531872953295393,0.06764647988977102
27140,"Jackson, MS",0.08146261879057518,0.10355717645815164
27180,"Jackson, TN",0.07278161556580431,0.07834986863260264
27260,"Jacksonville, FL",0.08928875912285836,0.07877251267704144
27340,"Jacksonville, NC",0.13645336108818146,0.06209043250327654
27500,"Janesville-Beloit, WI",0.05740749674369241,0.04740262329067496
