cbsa_fips,cbsa,pop_2005,pop_2015
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",1772959,1985844
26980,"Iowa City, IA (Metropolitan Statistical Area)",141650,167078
27060,"Ithaca, NY (Metropolitan Statistical Area)",99433,103018
27100,"Jackson, MI (Metropolitan Statistical Area)",163047,159292
27140,"Jackson, MS (Metropolitan Statistical Area)",567496,597966
27180,"Jackson, TN (Metropolitan Statistical Area)",174116,178491
27260,"Jacksonville, FL (Metropolitan Statistical Area)",1249072,1444715
27340,"Jacksonville, NC (Metropolitan Statistical Area)",157205,193037
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",156761,161052
27620,"Jefferson City, MO (Metropolitan Statistical Area)",144450,150902
27740,"Johnson City, TN (Metropolitan Statistical Area)",189182,200281
27780,"Johnstown, PA (Metropolitan Statistical Area)",146975,136029
27860,"Jonesboro, AR (Metropolitan Statistical Area)",112570,128435
27900,"Joplin, MO (Metropolitan Statistical Area)",166160,176699
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",143448,164130
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",243259,259716
28100,"Kankakee, IL (Metropolitan Statistical Area)",107917,111758
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",1909428,2085979
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",219086,279095
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",357533,432750
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",302519,306183
28740,"Kingston, NY (Metropolitan Statistical Area)",182438,179692
28940,"Knoxville, TN (Metropolitan Statistical Area)",768798,837480
29020,"Kokomo, IN (Metropolitan Statistical Area)",84382,82340
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",129549,136407
29180,"Lafayette, LA (Metropolitan Statistical Area)",439936,489537
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",196649,223625
29340,"Lake Charles, LA (Metropolitan Statistical Area)",196263,205252
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",188773,204661
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",547373,648758
29540,"Lancaster, PA (Metropolitan Statistical Area)",494722,535737
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",535500,541324
29700,"Laredo, TX (Metropolitan Statistical Area)",223703,270120
29740,"Las Cruces, NM (Metropolitan Statistical Area)",189199,214151
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",1729522,2098105
29940,"Lawrence, KS (Metropolitan Statistical Area)",105681,118222
30020,"Lawton, OK (Metropolitan Statistical Area)",121475,130038
30140,"Lebanon, PA (Metropolitan Statistical Area)",126197,137491
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",58979,62102
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",107352,107155
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",436898,501668
30620,"Lima, OH (Metropolitan Statistical Area)",106861,104069
30700,"Lincoln, NE (Metropolitan Statistical Area)",285469,323131
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",648784,730897
30860,"Logan, UT-ID (Metropolitan Statistical Area)",112580,132728
30980,"Longview, TX (Metropolitan Statistical Area)",265873,283970
31020,"Longview, WA (Metropolitan Statistical Area)",96536,103050
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",12726428,13250999
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1139934,1246570
31180,"Lubbock, TX (Metropolitan Statistical Area)",270478,310029
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",238515,259475
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",228125,229849
31460,"Madera, CA (Metropolitan Statistical Area)",140313,153739
31540,"Madison, WI (Metropolitan Statistical Area)",573036,640028
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",396381,408811
31740,"Manhattan, KS (Metropolitan Statistical Area)",111294,136935
31860,"Mankato, MN (Metropolitan Statistical Area)",91111,99190
31900,"Mansfield, OH (Metropolitan Statistical Area)",127724,121702
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",674982,841061
32780,"Medford, OR (Metropolitan Statistical Area)",194701,211432
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1263658,1335685
32900,"Merced, CA (Metropolitan Statistical Area)",242554,266651
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",5411148,5998284
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",109541,110853
33220,"Midland, MI (Metropolitan Statistical Area)",83930,83626
33260,"Midland, TX (Metropolitan Statistical Area)",126963,168012
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",1522391,1576781
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3183920,3504614
33540,"Missoula, MT (Metropolitan Statistical Area)",102298,114114
33660,"Mobile, AL (Metropolitan Statistical Area)",416632,431763
33700,"Modesto, CA (Metropolitan Statistical Area)",500020,533534
33740,"Monroe, LA (Metropolitan Statistical Area)",201596,205678
33780,"Monroe, MI (Metropolitan Statistical Area)",152374,149386
33860,"Montgomery, AL (Metropolitan Statistical Area)",358659,373359
34060,"Morgantown, WV (Metropolitan Statistical Area)",119937,138550
34100,"Morristown, TN (Metropolitan Statistical Area)",129574,139200
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",110683,121604
34620,"Muncie, IN (Metropolitan Statistical Area)",118170,115765
34740,"Muskegon, MI (Metropolitan Statistical Area)",173608,172462
