cbsa_fips,cbsa,city_fips,city,pop_1790,pop_1800,pop_1810,pop_1820,pop_1830,pop_1840,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950,pop_1960,pop_1970,pop_1980,pop_1990,pop_2000,pop_2010
24340,"Grand Rapids-Wyoming, MI",2634000,Grand Rapids city,0,0,0,0,0,0,2686,8085,16507,32016,60278,87565,112571,137634,168592,164292,176515,177313,197649,181843,189126,197800,188040
24420,"Grants Pass, OR",4130550,Grants Pass city,0,0,0,0,0,0,0,0,0,250,1432,2300,3897,4200,4666,6028,8116,10118,12455,14977,17488,23938,34533
24500,"Great Falls, MT",3032800,Great Falls city,0,0,0,0,0,0,0,0,0,0,3979,14930,13948,24121,28822,29928,39214,55244,60091,56884,55097,56690,58505
24540,"Greeley, CO",832155,Greeley city,0,0,0,0,0,0,0,0,480,1297,2395,3023,8179,10958,12203,15995,20354,26314,38902,53006,60536,76930,92889
24580,"Green Bay, WI",5531000,Green Bay city,0,0,0,0,0,0,0,2276,4666,7464,9069,18684,25216,31017,37407,46205,52735,62888,87809,87899,96466,102313,104057
24660,"Greensboro-High Point, NC",3728000,Greensboro city,0,0,0,0,0,0,0,0,500,2105,3317,10035,15895,19861,53569,59319,74389,119574,144076,155642,183894,223891,269666
24780,"Greenville, NC",3728080,Greenville city,0,174,0,0,0,0,1893,828,601,912,1937,2565,4101,5772,9194,12674,16724,22860,29063,35740,44972,60476,84554
24860,"Greenville-Anderson-Mauldin, SC",4530850,Greenville city,0,0,0,0,0,0,1305,1518,2757,6160,8607,11860,15741,23127,29154,34734,58161,66188,61436,58242,58282,56002,58409
25060,"Gulfport-Biloxi-Pascagoula, MS",2829700,Gulfport city,0,0,0,0,0,0,0,0,0,0,0,1100,6386,8157,12547,15195,22659,30204,40791,39676,40775,71127,67793
25180,"Hagerstown-Martinsburg, MD-WV",2436075,Hagerstown city,0,0,0,2670,3371,3625,3879,4132,5779,6627,10118,13591,16507,28064,30851,32491,36260,36660,35862,34132,35445,36687,39662
25220,"Hammond, LA",2232755,Hammond city,0,0,0,0,0,0,0,0,0,277,692,1500,2942,3855,6072,6033,8010,10563,12487,15226,15871,17639,20019
25260,"Hanford-Corcoran, CA",631960,Hanford city,0,0,0,0,0,0,0,0,0,269,942,2929,4829,5888,7028,8234,10028,10133,15179,20958,30897,41686,53967
25420,"Harrisburg-Carlisle, PA",4232800,Harrisburg city,875,1472,2287,2990,4312,5980,7834,13405,23104,30762,39385,50167,64186,75917,80339,83893,89544,79697,68061,53264,52376,48950,49528
25500,"Harrisonburg, VA",5135624,Harrisonburg city,0,0,0,0,0,0,0,1023,2036,2831,2792,3521,4879,5875,7232,8768,10810,11916,14605,19671,30707,40468,48914
25540,"Hartford-West Hartford-East Hartford, CT",937000,Hartford city,2683,3523,3955,4726,7074,9468,13555,26917,37180,42015,53230,79850,98915,138036,164072,166267,177397,162178,158017,136392,139739,121578,124775
25620,"Hattiesburg, MS",2831020,Hattiesburg city,0,0,0,0,0,0,0,0,0,0,1172,4175,11733,13270,18601,21026,29474,34989,38277,40829,41882,44779,45989
