Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
535,AL,AK,KEB,English Bay,English Bay,CS,None,2943,213667.7340N,546930.5610W
536,EA,PA,FKL,Franklin,Venango Regional,CS,None,2939,148958.7000N,287498.3000W
537,NM,WA,ORS,Eastsound,Orcas Island,CS,None,2934,175350.0000N,442478.1000W
539,NM,UT,BCE,Bryce Canyon,Bryce Canyon,CS,None,2856,135743.2070N,403724.8757W
540,CE,KS,SLN,Salina,Salina Municipal,CS,None,2805,139646.2000N,351548.0000W
541,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,2796,218845.2000N,581197.3000W
542,AL,AK,WBB,Stebbins,Stebbins,CS,None,2793,228657.5000N,584200.8000W
543,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,2777,219261.6000N,584786.1000W
544,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2749,222711.0000N,583294.0000W
545,AL,AK,T44,Kodiak,Trident Basin,CS,None,2730,208011.0000N,548609.0000W
546,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2708,222389.6050N,580749.8354W
547,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,2703,128159.6000N,320096.2000W
548,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,2682,159787.1090N,267142.2530W
549,WP,CA,PMD,Palmdale,Palmdale Regional/USAF Plant 42,CS,None,2648,124665.8000N,425104.3900W
550,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,2601,231735.9000N,580406.3000W
551,AL,AK,AKI,Akiak,Akiak,CS,None,2587,219250.4300N,580430.1000W
552,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2581,207126.3000N,554316.0000W
553,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,2574,136034.4000N,292047.0000W
554,AL,AK,Z13,Akiachak,Akiachak,CS,None,2530,219289.7150N,581375.9850W
