cbsa_fips,cbsa,inc_2005,inc_2015
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",29679,37661
31460,"Madera, CA (Metropolitan Statistical Area)",24639,36357
31540,"Madison, WI (Metropolitan Statistical Area)",39722,53312
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",42264,55020
31740,"Manhattan, KS (Metropolitan Statistical Area)",29262,42331
31860,"Mankato, MN (Metropolitan Statistical Area)",32419,43930
31900,"Mansfield, OH (Metropolitan Statistical Area)",27679,36240
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17885,24909
32780,"Medford, OR (Metropolitan Statistical Area)",30674,41609
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",34267,42472
32900,"Merced, CA (Metropolitan Statistical Area)",25300,36028
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",40142,51078
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",28749,37803
33220,"Midland, MI (Metropolitan Statistical Area)",37199,40527
33260,"Midland, TX (Metropolitan Statistical Area)",59231,88480
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",38948,51390
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",42764,56963
33540,"Missoula, MT (Metropolitan Statistical Area)",29993,44841
33660,"Mobile, AL (Metropolitan Statistical Area)",27076,35847
33700,"Modesto, CA (Metropolitan Statistical Area)",28786,41011
33740,"Monroe, LA (Metropolitan Statistical Area)",26864,36955
33780,"Monroe, MI (Metropolitan Statistical Area)",32767,42255
33860,"Montgomery, AL (Metropolitan Statistical Area)",31852,39794
34060,"Morgantown, WV (Metropolitan Statistical Area)",28301,39181
34100,"Morristown, TN (Metropolitan Statistical Area)",24925,33198
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",32624,46344
34620,"Muncie, IN (Metropolitan Statistical Area)",27012,33873
34740,"Muskegon, MI (Metropolitan Statistical Area)",26020,35176
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",28512,35567
34900,"Napa, CA (Metropolitan Statistical Area)",44178,63995
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",58799,83236
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",36364,51805
35100,"New Bern, NC (Metropolitan Statistical Area)",31837,40425
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",39921,51817
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",31482,48350
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",46445,66126
35660,"Niles, MI (Metropolitan Statistical Area)",30876,42486
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",42391,51528
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",40844,53686
36100,"Ocala, FL (Metropolitan Statistical Area)",27996,33582
36140,"Ocean City, NJ (Metropolitan Statistical Area)",41123,54102
36220,"Odessa, TX (Metropolitan Statistical Area)",26490,41988
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",28881,38876
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",33987,45401
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",35740,45782
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",38250,53857
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",31742,39324
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",33729,43470
36980,"Owensboro, KY (Metropolitan Statistical Area)",29297,39487
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",41731,55711
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",33288,41018
37460,"Panama City, FL (Metropolitan Statistical Area)",32631,40404
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",27090,38058
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",30398,39692
37900,"Peoria, IL (Metropolitan Statistical Area)",32756,45090
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",41981,58161
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",34752,41483
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",24165,31423
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",35902,51198
38340,"Pittsfield, MA (Metropolitan Statistical Area)",35819,51203
38540,"Pocatello, ID (Metropolitan Statistical Area)",26258,34750
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",37701,50618
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",36188,50184
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",38880,48604
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",35342,48294
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",27236,35500
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",36383,49480
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",23958,35627
39380,"Pueblo, CO (Metropolitan Statistical Area)",26755,35534
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",30888,38464
39540,"Racine, WI (Metropolitan Statistical Area)",34231,44758
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",38782,50099
39660,"Rapid City, SD (Metropolitan Statistical Area)",34535,45999
39740,"Reading, PA (Metropolitan Statistical Area)",33703,44935
39820,"Redding, CA (Metropolitan Statistical Area)",29928,42298
39900,"Reno, NV (Metropolitan Statistical Area)",43958,50463
40060,"Richmond, VA (Metropolitan Statistical Area) *",39562,52267
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",28684,36485
40220,"Roanoke, VA (Metropolitan Statistical Area) *",33372,44342
40340,"Rochester, MN (Metropolitan Statistical Area)",35914,49081
40380,"Rochester, NY (Metropolitan Statistical Area)",33056,46325
40420,"Rockford, IL (Metropolitan Statistical Area)",30327,40158
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",28067,36276
40660,"Rome, GA (Metropolitan Statistical Area)",27930,35472
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",37694,51072
40980,"Saginaw, MI (Metropolitan Statistical Area)",27064,35828
41060,"St. Cloud, MN (Metropolitan Statistical Area)",30574,42656
41100,"St. George, UT (Metropolitan Statistical Area)",23936,33039
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",27546,36184
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",37314,49668
41420,"Salem, OR (Metropolitan Statistical Area)",27682,38369
41500,"Salinas, CA (Metropolitan Statistical Area)",36328,51672
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",33441,45514
