cbsa_fips,cbsa,population_2015,clusterm_10,clusterm_18
25060,"Gulfport-Biloxi-Pascagoula, MS",388344,1,1
22180,"Fayetteville, NC",384006,1,1
19340,"Davenport-Moline-Rock Island, IA-IL",383599,5,9
42340,"Savannah, GA",377837,1,14
45220,"Tallahassee, FL",377671,1,14
37900,"Peoria, IL",377165,5,9
33860,"Montgomery, AL",373359,1,1
45940,"Trenton, NJ",368352,8,12
25860,"Hickory-Lenoir-Morganton, NC",363367,1,1
11460,"Ann Arbor, MI",363109,6,8
21660,"Eugene, OR",362047,1,14
26580,"Huntington-Ashland, WV-KY-OH",361050,2,5
34940,"Naples-Immokalee-Marco Island, FL",356107,9,13
36100,"Ocala, FL",342335,9,13
40420,"Rockford, IL",340828,4,4
28020,"Kalamazoo-Portage, MI",334780,2,2
22660,"Fort Collins, CO",333309,6,8
43900,"Spartanburg, SC",324316,1,1
30700,"Lincoln, NE",323131,6,8
43780,"South Bend-Mishawaka, IN-MI",319543,2,2
14500,"Boulder, CO",319175,6,8
24580,"Green Bay, WI",315694,5,9
21780,"Evansville, IN-KY",315001,2,5
40220,"Roanoke, VA",313205,1,1
17980,"Columbus, GA-AL",310293,1,1
31180,"Lubbock, TX",310029,1,14
28700,"Kingsport-Bristol-Bristol, TN-VA",306183,1,1
46540,"Utica-Rome, NY",293888,5,9
24540,"Greeley, CO",285033,5,6
22900,"Fort Smith, AR-OK",280496,1,1
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",280171,10,16
17300,"Clarksville, TN-KY",279843,1,1
20260,"Duluth, MN-WI",279166,5,9
28420,"Kennewick-Richland, WA",279095,5,6
21500,"Erie, PA",278182,2,5
48900,"Wilmington, NC",276895,1,14
23540,"Gainesville, FL",276546,6,10
42100,"Santa Cruz-Watsonville, CA",273730,10,16
12100,"Atlantic City-Hammonton, NJ",270471,4,4
29700,"Laredo, TX",270120,7,11
35980,"Norwich-New London, CT",269717,5,9
36500,"Olympia-Tumwater, WA",268014,5,6
32900,"Merced, CA",266651,7,11
16300,"Cedar Rapids, IA",266256,5,9
47380,"Waco, TX",262754,1,14
11100,"Amarillo, TX",261804,5,6
18880,"Crestview-Fort Walton Beach-Destin, FL",260887,5,6
25180,"Hagerstown-Martinsburg, MD-WV",260799,1,1
14740,"Bremerton-Silverdale, WA",259320,4,4
17780,"College Station-Bryan, TX",250765,6,10
43620,"Sioux Falls, SD",250053,5,9
