cbsa_fips,name,gmp,pop,a1,a2,b1,b2,quadrant,label
11460,"Ann Arbor, MI",-0.046187326,0.067811518,0,0,3,0,3,0
40580,"Rocky Mount, NC",-0.018282851,0.065484597,0,0,3,0,3,0
22500,"Florence, SC",-0.072324039,0.064254096,0,0,3,0,3,0
40660,"Rome, GA",-0.07292431,0.063512394,0,0,3,0,3,0
24340,"Grand Rapids-Wyoming, MI",-0.051881109,0.06225673,0,0,3,0,3,0
12620,"Bangor, ME",-0.049185464,0.06213126,0,0,3,0,3,0
42220,"Santa Rosa, CA",-0.051061836,0.055087721,0,0,3,0,3,0
19460,"Decatur, AL",-0.015756965,0.05458397,0,0,3,0,3,0
27500,"Janesville-Beloit, WI",-0.001061207,0.052683068,0,0,3,0,3,0
28020,"Kalamazoo-Portage, MI",-0.001018875,0.049152777,0,0,3,0,3,0
35300,"New Haven-Milford, CT",-0.022938082,0.046685226,0,0,3,0,3,0
31420,"Macon-Bibb County, GA",-0.123843287,0.044633221,0,0,3,0,3,0
44100,"Springfield, IL",-0.00151752,0.043353505,0,0,3,0,3,0
33780,"Monroe, MI",-0.035003921,0.041632122,0,0,3,0,3,0
45820,"Topeka, KS",-0.011300985,0.041500595,0,0,3,0,3,0
39540,"Racine, WI",-0.023280479,0.034830086,0,0,3,0,3,0
41500,"Salinas, CA",-0.019851478,0.033091731,0,0,3,0,3,0
29620,"Lansing-East Lansing, MI",-0.046442711,0.029396533,0,0,3,0,3,0
42100,"Santa Cruz-Watsonville, CA",-0.075592979,0.026525614,0,0,3,0,3,0
43100,"Sheboygan, WI",-0.018840214,0.02539815,0,0,3,0,3,0
33140,"Michigan City-La Porte, IN",-0.006654171,0.012360816,0,0,3,0,3,0
34740,"Muskegon, MI",-0.030699916,0.011680376,0,0,3,0,3,0
10500,"Albany, GA",-0.048364823,0.000637361,0,0,3,0,3,0
45540,"The Villages, FL",0.240481594,0.751241916,0,0,0,4,4,1
39340,"Provo-Orem, UT",0.05211894,0.398212191,0,0,0,4,4,1
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.529534835,0.15464025,0,0,0,4,4,1
16220,"Casper, WY",0.436973297,0.134023718,0,0,0,4,4,1
36220,"Odessa, TX",0.479898528,0.132154917,0,0,0,4,4,1
18700,"Corvallis, OR",1.066540544,0.095018745,0,0,0,4,4,1
12420,"Austin-Round Rock, TX",0.112428169,0.373291576,0,0,0,4,4,0
32580,"McAllen-Edinburg-Mission, TX",0.099004331,0.360525618,0,0,0,4,4,0
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.095936645,0.352703434,0,0,0,4,4,0
28420,"Kennewick-Richland, WA",0.117086349,0.320703569,0,0,0,4,4,0
16740,"Charlotte-Concord-Gastonia, NC-SC",0.014591585,0.287673292,0,0,0,4,4,0
26820,"Idaho Falls, ID",0.02962589,0.274336368,0,0,0,4,4,0
17660,"Coeur d'Alene, ID",0.008547009,0.274269678,0,0,0,4,4,0
12540,"Bakersfield, CA",0.104579016,0.269005282,0,0,0,4,4,0
48900,"Wilmington, NC",0.014137813,0.265630198,0,0,0,4,4,0
26420,"Houston-The Woodlands-Sugar Land, TX",0.062861634,0.261498593,0,0,0,4,4,0
24780,"Greenville, NC",0.00020803,0.256730295,0,0,0,4,4,0
49020,"Winchester, VA-WV",0.004676657,0.247337301,0,0,0,4,4,0
17780,"College Station-Bryan, TX",0.12273135,0.236768802,0,0,0,4,4,0
36260,"Ogden-Clearfield, UT",0.03452411,0.230238504,0,0,0,4,4,0
20940,"El Centro, CA",0.126247731,0.225953737,0,0,0,4,4,0
28660,"Killeen-Temple, TX",0.16949258,0.225530216,0,0,0,4,4,0
31460,"Madera, CA",0.172730178,0.22545874,0,0,0,4,4,0
49740,"Yuma, AZ",0.039732555,0.223244973,0,0,0,4,4,0
30860,"Logan, UT-ID",0.290700513,0.221203271,0,0,0,4,4,0
43620,"Sioux Falls, SD",0.243886679,0.220040301,0,0,0,4,4,0
15680,"California-Lexington Park, MD",0.155621624,0.219693543,0,0,0,4,4,0
26620,"Huntsville, AL",0.170012081,0.219691217,0,0,0,4,4,0
12220,"Auburn-Opelika, AL",0.08919979,0.218564279,0,0,0,4,4,0
32900,"Merced, CA",0.159880294,0.214856996,0,0,0,4,4,0
15180,"Brownsville-Harlingen, TX",0.034080673,0.211775901,0,0,0,4,4,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.045410489,0.211338992,0,0,0,4,4,0
16700,"Charleston-North Charleston, SC",0.122452683,0.210504651,0,0,0,4,4,0
13380,"Bellingham, WA",0.116259152,0.205774096,0,0,0,4,4,0
46300,"Twin Falls, ID",0.029419604,0.205480115,0,0,0,4,4,0
25220,"Hammond, LA",0.350382564,0.20389112,0,0,0,4,4,0
47300,"Visalia-Porterville, CA",0.153406837,0.201504805,0,0,0,4,4,0
17820,"Colorado Springs, CO",0.023606753,0.201176221,0,0,0,4,4,0
46340,"Tyler, TX",0.309131666,0.200382357,0,0,0,4,4,0
49700,"Yuba City, CA",0.002733236,0.199376208,0,0,0,4,4,0
29740,"Las Cruces, NM",0.141624227,0.197793705,0,0,0,4,4,0
22020,"Fargo, ND-MN",0.186417595,0.197342387,0,0,0,4,4,0
26140,"Homosassa Springs, FL",0.005281612,0.19605369,0,0,0,4,4,0
22660,"Fort Collins, CO",0.055941998,0.191400192,0,0,0,4,4,0
20500,"Durham-Chapel Hill, NC",0.271208823,0.187965667,0,0,0,4,4,0
42340,"Savannah, GA",0.008130727,0.186385666,0,0,0,4,4,0
27340,"Jacksonville, NC",0.237358163,0.182348442,0,0,0,4,4,0
25260,"Hanford-Corcoran, CA",0.185008832,0.181684059,0,0,0,4,4,0
17300,"Clarksville, TN-KY",0.251289538,0.180814655,0,0,0,4,4,0
14540,"Bowling Green, KY",0.058074408,0.175016299,0,0,0,4,4,0
33260,"Midland, TX",0.008336161,0.173210219,0,0,0,4,4,0
19780,"Des Moines-West Des Moines, IA",0.108442339,0.169430802,0,0,0,4,4,0
34060,"Morgantown, WV",0.152598401,0.166447842,0,0,0,4,4,0
31740,"Manhattan, KS",0.173430586,0.16589143,0,0,0,4,4,0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.125063816,0.164866098,0,0,0,4,4,0
23420,"Fresno, CA",0.117710939,0.16392526,0,0,0,4,4,0
