cbsa_fips,cbsa,percapita_income_2015
27620,"Jefferson City, MO ",39900
27740,"Johnson City, TN ",37022
27780,"Johnstown, PA ",39182
27860,"Jonesboro, AR ",34084
27900,"Joplin, MO ",36749
27980,"Kahului-Wailuku-Lahaina, HI ",43633
28020,"Kalamazoo-Portage, MI ",44184
28100,"Kankakee, IL ",37106
28140,"Kansas City, MO-KS ",49647
28420,"Kennewick-Richland, WA ",41563
28660,"Killeen-Temple, TX ",39731
28700,"Kingsport-Bristol, TN-VA ",36811
28740,"Kingston, NY ",44632
28940,"Knoxville, TN ",41673
29020,"Kokomo, IN ",38063
29100,"La Crosse-Onalaska, WI-MN ",45300
29180,"Lafayette, LA ",43354
29200,"Lafayette-West Lafayette, IN ",35660
29340,"Lake Charles, LA ",43779
29420,"Lake Havasu City-Kingman, AZ ",29366
29460,"Lakeland-Winter Haven, FL ",33508
29540,"Lancaster, PA ",46543
29620,"Lansing-East Lansing, MI ",37788
29700,"Laredo, TX ",29496
29740,"Las Cruces, NM ",33529
29820,"Las Vegas-Henderson-Paradise, NV ",42771
29940,"Lawrence, KS ",39680
30020,"Lawton, OK ",39123
30140,"Lebanon, PA ",42938
30300,"Lewiston, ID-WA ",40693
30340,"Lewiston-Auburn, ME ",37821
30460,"Lexington-Fayette, KY ",44328
30620,"Lima, OH ",38360
30700,"Lincoln, NE ",45192
30780,"Little Rock-North Little Rock-Conway, AR ",42314
30860,"Logan, UT-ID ",34409
30980,"Longview, TX ",40710
31020,"Longview, WA ",41128
31080,"Los Angeles-Long Beach-Anaheim, CA ",56839
31140,"Louisville/Jefferson County, KY-IN ",45457
31180,"Lubbock, TX ",39331
31340,"Lynchburg, VA ",37719
31420,"Macon-Bibb County, GA ",37661
31460,"Madera, CA ",36357
31540,"Madison, WI ",53312
31700,"Manchester-Nashua, NH ",55020
31740,"Manhattan, KS ",42331
31860,"Mankato, MN ",43930
31900,"Mansfield, OH ",36240
32580,"McAllen-Edinburg-Mission, TX ",24909
32780,"Medford, OR ",41609
32820,"Memphis, TN-MS-AR ",42472
32900,"Merced, CA ",36028
33100,"Miami-Fort Lauderdale-Pompano Beach, FL ",51078
33140,"Michigan City-La Porte, IN ",37803
33220,"Midland, MI ",40527
33260,"Midland, TX ",88480
33340,"Milwaukee-Waukesha, WI ",51390
33460,"Minneapolis-St. Paul-Bloomington, MN-WI ",56963
33540,"Missoula, MT ",44841
33660,"Mobile, AL ",35847
33700,"Modesto, CA ",41011
33740,"Monroe, LA ",36955
33780,"Monroe, MI ",42255
33860,"Montgomery, AL ",39794
34060,"Morgantown, WV ",39181
34100,"Morristown, TN ",33198
34580,"Mount Vernon-Anacortes, WA ",46344
34620,"Muncie, IN ",33873
34740,"Muskegon, MI ",35176
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC ",35567
34900,"Napa, CA ",63995
34940,"Naples-Marco Island, FL ",83236
