cbsa_fips,csa_fips,cbsa,cbsa_type,csa
12020,122,"Athens-Clarke County, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12020,122,"Athens-Clarke County, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
47580,356,"Warner Robins, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
48180,,"Waycross, GA",Micropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
16340,122,"Cedartown, GA",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
47580,356,"Warner Robins, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
12260,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
11140,,"Americus, GA",Micropolitan Statistical Area,
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
45740,,"Toccoa, GA",Micropolitan Statistical Area,
11140,,"Americus, GA",Micropolitan Statistical Area,
10500,,"Albany, GA",Metropolitan Statistical Area,
45620,,"Thomasville, GA",Micropolitan Statistical Area,
45700,,"Tifton, GA",Micropolitan Statistical Area,
47080,,"Vidalia, GA",Micropolitan Statistical Area,
29300,122,"LaGrange, GA",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
31420,356,"Macon, GA",Metropolitan Statistical Area,"Macon-Warner Robins, GA"
45580,122,"Thomaston, GA",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
16860,174,"Chattanooga, TN-GA",Metropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
12060,122,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
48180,,"Waycross, GA",Micropolitan Statistical Area,
27700,,"Jesup, GA",Micropolitan Statistical Area,
19140,174,"Dalton, GA",Metropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
10500,,"Albany, GA",Metropolitan Statistical Area,
25900,,"Hilo, HI",Micropolitan Statistical Area,
46520,,"Urban Honolulu, HI",Metropolitan Statistical Area,
27980,,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,
28180,,"Kapaa, HI",Micropolitan Statistical Area,
27980,,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,
14260,147,"Boise City, ID",Metropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
38540,,"Pocatello, ID",Metropolitan Statistical Area,
13940,292,"Blackfoot, ID",Micropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
25200,,"Hailey, ID",Micropolitan Statistical Area,
14260,147,"Boise City, ID",Metropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
41760,,"Sandpoint, ID",Micropolitan Statistical Area,
26820,292,"Idaho Falls, ID",Metropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
26820,292,"Idaho Falls, ID",Metropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
25200,,"Hailey, ID",Micropolitan Statistical Area,
14260,147,"Boise City, ID",Metropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
15420,,"Burley, ID",Micropolitan Statistical Area,
34300,147,"Mountain Home, ID",Micropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
30860,,"Logan, UT-ID",Metropolitan Statistical Area,
39940,292,"Rexburg, ID",Micropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
14260,147,"Boise City, ID",Metropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
26820,292,"Idaho Falls, ID",Metropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
46300,,"Twin Falls, ID",Micropolitan Statistical Area,
17660,518,"Coeur d'Alene, ID",Metropolitan Statistical Area,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
34140,446,"Moscow, ID",Micropolitan Statistical Area,"Pullman-Moscow, WA-ID"
25200,,"Hailey, ID",Micropolitan Statistical Area,
39940,292,"Rexburg, ID",Micropolitan Statistical Area,"Idaho Falls-Rexburg-Blackfoot, ID"
15420,,"Burley, ID",Micropolitan Statistical Area,
30300,,"Lewiston, ID-WA",Metropolitan Statistical Area,
14260,147,"Boise City, ID",Metropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
36620,147,"Ontario, OR-ID",Micropolitan Statistical Area,"Boise City-Mountain Home-Ontario, ID-OR"
27220,,"Jackson, WY-ID",Micropolitan Statistical Area,
46300,,"Twin Falls, ID",Micropolitan Statistical Area,
39500,448,"Quincy, IL-MO",Micropolitan Statistical Area,"Quincy-Hannibal, IL-MO"
16020,164,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,"Cape Girardeau-Sikeston, MO-IL"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
40420,466,"Rockford, IL",Metropolitan Statistical Area,"Rockford-Freeport-Rochelle, IL"
36860,176,"Ottawa-Peru, IL",Micropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
16580,,"Champaign-Urbana, IL",Metropolitan Statistical Area,
45380,522,"Taylorville, IL",Micropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
16660,,"Charleston-Mattoon, IL",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
16660,,"Charleston-Mattoon, IL",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
14010,145,"Bloomington, IL",Metropolitan Statistical Area,"Bloomington-Pontiac, IL"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
20820,,"Effingham, IL",Micropolitan Statistical Area,
16580,,"Champaign-Urbana, IL",Metropolitan Statistical Area,
15900,426,"Canton, IL",Micropolitan Statistical Area,"Peoria-Canton, IL"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
22800,,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,
15460,,"Burlington, IA-IL",Micropolitan Statistical Area,
19340,209,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"Davenport-Moline, IA-IL"
16060,,"Carbondale-Marion, IL",Metropolitan Statistical Area,
34500,,"Mount Vernon, IL",Micropolitan Statistical Area,
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
28100,176,"Kankakee, IL",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
23660,,"Galesburg, IL",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
36860,176,"Ottawa-Peru, IL",Micropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
19940,221,"Dixon, IL",Micropolitan Statistical Area,"Dixon-Sterling, IL"
38700,145,"Pontiac, IL",Micropolitan Statistical Area,"Bloomington-Pontiac, IL"
30660,522,"Lincoln, IL",Micropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
31380,,"Macomb, IL",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
14010,145,"Bloomington, IL",Metropolitan Statistical Area,"Bloomington-Pontiac, IL"
19500,,"Decatur, IL",Metropolitan Statistical Area,
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
16460,476,"Centralia, IL",Micropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
37900,426,"Peoria, IL",Metropolitan Statistical Area,"Peoria-Canton, IL"
37140,424,"Paducah, KY-IL",Micropolitan Statistical Area,"Paducah-Mayfield, KY-IL"
44100,522,"Springfield, IL",Metropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
19340,209,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"Davenport-Moline, IA-IL"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
27300,522,"Jacksonville, IL",Micropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
40300,466,"Rochelle, IL",Micropolitan Statistical Area,"Rockford-Freeport-Rochelle, IL"
37900,426,"Peoria, IL",Metropolitan Statistical Area,"Peoria-Canton, IL"
16580,,"Champaign-Urbana, IL",Metropolitan Statistical Area,
36860,176,"Ottawa-Peru, IL",Micropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
19340,209,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"Davenport-Moline, IA-IL"
41180,476,"St. Louis, MO-IL",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL"
44100,522,"Springfield, IL",Metropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
27300,522,"Jacksonville, IL",Micropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL"
37900,426,"Peoria, IL",Metropolitan Statistical Area,"Peoria-Canton, IL"
23300,466,"Freeport, IL",Micropolitan Statistical Area,"Rockford-Freeport-Rochelle, IL"
37900,426,"Peoria, IL",Metropolitan Statistical Area,"Peoria-Canton, IL"
19180,,"Danville, IL",Metropolitan Statistical Area,
44580,221,"Sterling, IL",Micropolitan Statistical Area,"Dixon-Sterling, IL"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
16060,,"Carbondale-Marion, IL",Metropolitan Statistical Area,
40420,466,"Rockford, IL",Metropolitan Statistical Area,"Rockford-Freeport-Rochelle, IL"
37900,426,"Peoria, IL",Metropolitan Statistical Area,"Peoria-Canton, IL"
19540,258,"Decatur, IN",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
23060,258,"Fort Wayne, IN",Metropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
18020,294,"Columbus, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
29200,320,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,"Lafayette-West Lafayette-Frankfort, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
29200,320,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,"Lafayette-West Lafayette-Frankfort, IN"
30900,,"Logansport, IN",Micropolitan Statistical Area,
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
45460,,"Terre Haute, IN",Metropolitan Statistical Area,
23140,320,"Frankfort, IN",Micropolitan Statistical Area,"Lafayette-West Lafayette-Frankfort, IN"
47780,,"Washington, IN",Micropolitan Statistical Area,
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
24700,294,"Greensburg, IN",Micropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
12140,258,"Auburn, IN",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
34620,294,"Muncie, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
27540,,"Jasper, IN",Micropolitan Statistical Area,
21140,515,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"South Bend-Elkhart-Mishawaka, IN-MI"
18220,458,"Connersville, IN",Micropolitan Statistical Area,"Richmond-Connersville, IN"
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
31980,,"Marion, IN",Micropolitan Statistical Area,
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
35220,294,"New Castle, IN",Micropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
29020,316,"Kokomo, IN",Metropolitan Statistical Area,"Kokomo-Peru, IN"
26540,258,"Huntington, IN",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
42980,294,"Seymour, IN",Micropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
31500,350,"Madison, IN",Micropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
35860,294,"North Vernon, IN",Micropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
47180,,"Vincennes, IN",Micropolitan Statistical Area,
47700,,"Warsaw, IN",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
33140,176,"Michigan City-La Porte, IN",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
13260,144,"Bedford, IN",Micropolitan Statistical Area,"Bloomington-Bedford, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
38500,515,"Plymouth, IN",Micropolitan Statistical Area,"South Bend-Elkhart-Mishawaka, IN-MI"
37940,316,"Peru, IN",Micropolitan Statistical Area,"Kokomo-Peru, IN"
14020,144,"Bloomington, IN",Metropolitan Statistical Area,"Bloomington-Bedford, IN"
18820,294,"Crawfordsville, IN",Micropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
28340,258,"Kendallville, IN",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
14020,144,"Bloomington, IN",Metropolitan Statistical Area,"Bloomington-Bedford, IN"
27540,,"Jasper, IN",Micropolitan Statistical Area,
16980,176,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI"
21780,,"Evansville, IN-KY",Metropolitan Statistical Area,
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
43780,515,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,"South Bend-Elkhart-Mishawaka, IN-MI"
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
26900,294,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN"
11420,258,"Angola, IN",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
45460,,"Terre Haute, IN",Metropolitan Statistical Area,
29200,320,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,"Lafayette-West Lafayette-Frankfort, IN"
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
21780,,"Evansville, IN-KY",Metropolitan Statistical Area,
45460,,"Terre Haute, IN",Metropolitan Statistical Area,
45460,,"Terre Haute, IN",Metropolitan Statistical Area,
47340,,"Wabash, IN",Micropolitan Statistical Area,
21780,,"Evansville, IN-KY",Metropolitan Statistical Area,
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
39980,458,"Richmond, IN",Micropolitan Statistical Area,"Richmond-Connersville, IN"
23060,258,"Fort Wayne, IN",Metropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
23060,258,"Fort Wayne, IN",Metropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN"
16300,168,"Cedar Rapids, IA",Metropolitan Statistical Area,"Cedar Rapids-Iowa City, IA"
47940,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,
14340,218,"Boone, IA",Micropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
47940,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,
44740,,"Storm Lake, IA",Micropolitan Statistical Area,
32380,,"Mason City, IA",Micropolitan Statistical Area,
43980,,"Spencer, IA",Micropolitan Statistical Area,
17540,209,"Clinton, IA",Micropolitan Statistical Area,"Davenport-Moline, IA-IL"
19780,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
36900,,"Ottumwa, IA",Micropolitan Statistical Area,
15460,,"Burlington, IA-IL",Micropolitan Statistical Area,
44020,,"Spirit Lake, IA",Micropolitan Statistical Area,
20220,,"Dubuque, IA",Metropolitan Statistical Area,
47940,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,
19780,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
36540,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,"Omaha-Council Bluffs-Fremont, NE-IA"
35500,218,"Newton, IA",Micropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
21840,,"Fairfield, IA",Micropolitan Statistical Area,
26980,168,"Iowa City, IA",Metropolitan Statistical Area,"Cedar Rapids-Iowa City, IA"
16300,168,"Cedar Rapids, IA",Metropolitan Statistical Area,"Cedar Rapids-Iowa City, IA"
22800,,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,
16300,168,"Cedar Rapids, IA",Metropolitan Statistical Area,"Cedar Rapids-Iowa City, IA"
19780,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
36820,,"Oskaloosa, IA",Micropolitan Statistical Area,
32260,,"Marshalltown, IA",Micropolitan Statistical Area,
36540,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,"Omaha-Council Bluffs-Fremont, NE-IA"
34700,209,"Muscatine, IA",Micropolitan Statistical Area,"Davenport-Moline, IA-IL"
43580,512,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,"Sioux City-Vermillion, IA-SD-NE"
19780,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
36540,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,"Omaha-Council Bluffs-Fremont, NE-IA"
19340,209,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"Davenport-Moline, IA-IL"
11180,218,"Ames, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
36900,,"Ottumwa, IA",Micropolitan Statistical Area,
19780,218,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-Ames-West Des Moines, IA"
26980,168,"Iowa City, IA",Metropolitan Statistical Area,"Cedar Rapids-Iowa City, IA"
22700,,"Fort Dodge, IA",Micropolitan Statistical Area,
43580,512,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,"Sioux City-Vermillion, IA-SD-NE"
32380,,"Mason City, IA",Micropolitan Statistical Area,
11860,312,"Atchison, KS",Micropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
24460,,"Great Bend, KS",Micropolitan Statistical Area,
48620,556,"Wichita, KS",Metropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
11680,556,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
38260,,"Pittsburg, KS",Micropolitan Statistical Area,
41140,312,"St. Joseph, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
29940,312,"Lawrence, KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
25700,,"Hays, KS",Micropolitan Statistical Area,
23780,,"Garden City, KS",Micropolitan Statistical Area,
19980,,"Dodge City, KS",Micropolitan Statistical Area,
36840,312,"Ottawa, KS",Micropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
27920,358,"Junction City, KS",Micropolitan Statistical Area,"Manhattan-Junction City, KS"
48620,556,"Wichita, KS",Metropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
45820,,"Topeka, KS",Metropolitan Statistical Area,
45820,,"Topeka, KS",Metropolitan Statistical Area,
28140,312,"Kansas City, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
23780,,"Garden City, KS",Micropolitan Statistical Area,
48620,556,"Wichita, KS",Metropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
37660,,"Parsons, KS",Micropolitan Statistical Area,
28140,312,"Kansas City, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
28140,312,"Kansas City, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
21380,,"Emporia, KS",Micropolitan Statistical Area,
32700,,"McPherson, KS",Micropolitan Statistical Area,
28140,312,"Kansas City, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
17700,,"Coffeyville, KS",Micropolitan Statistical Area,
45820,,"Topeka, KS",Metropolitan Statistical Area,
41460,,"Salina, KS",Micropolitan Statistical Area,
31740,358,"Manhattan, KS",Metropolitan Statistical Area,"Manhattan-Junction City, KS"
26740,,"Hutchinson, KS",Micropolitan Statistical Area,
31740,358,"Manhattan, KS",Metropolitan Statistical Area,"Manhattan-Junction City, KS"
41460,,"Salina, KS",Micropolitan Statistical Area,
48620,556,"Wichita, KS",Metropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
30580,,"Liberal, KS",Micropolitan Statistical Area,
45820,,"Topeka, KS",Metropolitan Statistical Area,
48620,556,"Wichita, KS",Metropolitan Statistical Area,"Wichita-Arkansas City-Winfield, KS"
45820,,"Topeka, KS",Metropolitan Statistical Area,
28140,312,"Kansas City, MO-KS",Metropolitan Statistical Area,"Kansas City-Overland Park-Kansas City, MO-KS"
14540,150,"Bowling Green, KY",Metropolitan Statistical Area,"Bowling Green-Glasgow, KY"
23180,336,"Frankfort, KY",Micropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
37140,424,"Paducah, KY-IL",Micropolitan Statistical Area,"Paducah-Mayfield, KY-IL"
23980,150,"Glasgow, KY",Micropolitan Statistical Area,"Bowling Green-Glasgow, KY"
34460,336,"Mount Sterling, KY",Micropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
33180,,"Middlesborough, KY",Micropolitan Statistical Area,
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
30460,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
26580,170,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,"Charleston-Huntington-Ashland, WV-OH-KY"
19220,,"Danville, KY",Micropolitan Statistical Area,
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
14540,150,"Bowling Green, KY",Metropolitan Statistical Area,"Bowling Green-Glasgow, KY"
34660,,"Murray, KY",Micropolitan Statistical Area,
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
17300,,"Clarksville, TN-KY",Metropolitan Statistical Area,
30460,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
36980,,"Owensboro, KY",Metropolitan Statistical Area,
14540,150,"Bowling Green, KY",Metropolitan Statistical Area,"Bowling Green-Glasgow, KY"
30460,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
23180,336,"Frankfort, KY",Micropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
46460,362,"Union City, TN-KY",Micropolitan Statistical Area,"Martin-Union City, TN-KY"
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
32460,424,"Mayfield, KY",Micropolitan Statistical Area,"Paducah-Mayfield, KY-IL"
26580,170,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,"Charleston-Huntington-Ashland, WV-OH-KY"
36980,,"Owensboro, KY",Metropolitan Statistical Area,
21060,350,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
21780,,"Evansville, IN-KY",Metropolitan Statistical Area,
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
31580,,"Madisonville, KY",Micropolitan Statistical Area,
31140,350,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN"
30460,336,"Lexington-Fayette, KY",Metropolitan Statistical Area,"Lexington-Fayette--Richmond--Frankfort, KY"
17140,178,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
30940,,"London, KY",Micropolitan Statistical Area,
