cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
46220,"Tuscaloosa, AL",1,3,3,1,1,3,3,1
46340,"Tyler, TX",1,1,1,1,1,1,1,1
46520,"Urban Honolulu, HI",3,5,5,4,1,1,1,1
46540,"Utica-Rome, NY",2,7,2,2,1,2,2,2
46660,"Valdosta, GA",1,3,3,1,1,3,3,1
46700,"Vallejo-Fairfield, CA",4,9,8,5,1,5,5,1
47020,"Victoria, TX",1,3,3,1,1,7,4,2
47220,"Vineland-Bridgeton, NJ",2,12,6,3,1,4,4,2
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,1,1,1,1,4,4,2
47300,"Visalia-Porterville, CA",4,9,8,5,1,5,5,1
47380,"Waco, TX",1,1,1,1,1,1,1,1
47580,"Warner Robins, GA",4,9,8,5,1,5,5,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,11,10,7,3,10,8,5
47940,"Waterloo-Cedar Falls, IA",2,6,6,3,1,1,1,1
48140,"Wausau, WI",2,6,6,3,1,1,1,1
48260,"Weirton-Steubenville, WV-OH",2,7,2,2,1,2,2,2
48300,"Wenatchee, WA",1,1,1,1,1,1,1,1
48540,"Wheeling, WV-OH",2,7,2,2,1,2,2,2
48620,"Wichita, KS",1,1,1,1,1,1,1,1
48660,"Wichita Falls, TX",1,1,1,1,1,1,1,1
48700,"Williamsport, PA",2,7,2,2,1,2,2,2
48900,"Wilmington, NC",1,1,1,1,1,1,1,1
49020,"Winchester, VA-WV",1,3,3,1,1,3,3,1
49180,"Winston-Salem, NC",1,1,1,1,1,1,1,1
49340,"Worcester, MA-CT",2,4,4,3,1,7,4,2
49420,"Yakima, WA",4,9,8,5,1,1,1,1
49620,"York-Hanover, PA",2,6,6,3,1,7,4,2
49660,"Youngstown-Warren-Boardman, OH-PA",2,2,2,2,1,2,2,2
49700,"Yuba City, CA",4,9,8,5,1,5,5,1
49740,"Yuma, AZ",4,9,8,5,1,5,5,1
