cbsa_fips,cbsa,cbsa_type,city,city_fips
14260,"Boise City, ID",Metropolitan Statistical Area,Boise City,1608830
14340,"Boone, IA",Micropolitan Statistical Area,Boone,1907480
14380,"Boone, NC",Micropolitan Statistical Area,Boone,3707080
14420,"Borger, TX",Micropolitan Statistical Area,Borger,4809556
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Boston,2507000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Cambridge,2511000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Framingham,2524960
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Newton,2545560
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Waltham,2572600
14500,"Boulder, CO",Metropolitan Statistical Area,Boulder,807850
14540,"Bowling Green, KY",Metropolitan Statistical Area,Bowling Green,2108902
14580,"Bozeman, MT",Micropolitan Statistical Area,Bozeman,3008950
14620,"Bradford, PA",Micropolitan Statistical Area,Bradford,4208040
14660,"Brainerd, MN",Micropolitan Statistical Area,Brainerd,2707300
14700,"Branson, MO",Micropolitan Statistical Area,Branson,2907966
14720,"Breckenridge, CO",Micropolitan Statistical Area,Breckenridge,808400
14740,"Bremerton-Silverdale, WA",Metropolitan Statistical Area,Bremerton,5307695
14740,"Bremerton-Silverdale, WA",Metropolitan Statistical Area,Silverdale,5364365
14780,"Brenham, TX",Micropolitan Statistical Area,Brenham,4810156
14820,"Brevard, NC",Micropolitan Statistical Area,Brevard,3707720
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Bridgeport,908000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Danbury,918430
